Problem_ID,Expression,Complexity_Score,Expected_Answer,Method_Used,Actual_Answer,Is_Correct,Latency_ms,Invocations,Token_Count,CPU_Cycles,RAM_Peak_MB,Env_Status,Decision_Logic_Time,Network_Bytes_Sent/Received
1,14 + 18 / 2 * 18 - 7,1.0,169.0,API_REST_Wolfram,169.0,1.0,2293.0602999404073,1.0,0.0,0.390625,1.78125,API_OK,0.0,130/6257
2,15 * 18 + 12 / 3 + 9,1.0,283.0,API_REST_Wolfram,283.0,1.0,1422.06329992041,1.0,0.0,0.015625,0.0,API_OK,0.0,130/6242
3,8 * 4 + 9 - 9 + 18,1.0,50.0,API_REST_Wolfram,50.0,1.0,1711.38939994853,1.0,0.0,0.0,0.00390625,API_OK,0.0,128/6758
4,11 * 11 - 6 * 17 + 4,1.0,23.0,API_REST_Wolfram,23.0,1.0,1673.5523000825197,1.0,0.0,0.0,0.0,API_OK,0.0,130/6776
5,2 - 1 + 5 * 4 * 11,1.0,221.0,API_REST_Wolfram,221.0,1.0,1571.8678999692202,1.0,0.0,0.015625,0.07421875,API_OK,0.0,128/6222
6,16 * 7 * 15 + 11 + 17,1.0,1708.0,API_REST_Wolfram,1708.0,1.0,1429.7374000307173,1.0,0.0,0.015625,0.0,API_OK,0.0,131/6265
7,10 - 9 * 24 / 8 * 6,1.0,-152.0,API_REST_Wolfram,-152.0,1.0,1340.4404999455437,1.0,0.0,0.015625,0.0,API_OK,0.0,129/4228
8,10 / 5 + 10 - 9 * 11,1.0,-87.0,API_REST_Wolfram,-87.0,1.0,1296.3642999529839,1.0,0.0,0.0,0.0,API_OK,0.0,130/4219
9,3 * 19 * 14 + 18 / 2,1.0,807.0,API_REST_Wolfram,807.0,1.0,1308.9366999920458,1.0,0.0,0.0,0.11328125,API_OK,0.0,130/6249
10,10 * 12 - 14 / 2 + 15,1.0,128.0,API_REST_Wolfram,128.0,1.0,1374.266600003466,1.0,0.0,0.015625,0.02734375,API_OK,0.0,131/6271
11,14 / 2+2 - 1 + 5 * 4 * 11 - 1 + 3,1.9473684210526316,230.0,API_REST_Wolfram,230.0,1.0,1781.0676000081003,1.0,0.0,0.015625,0.0,API_OK,0.0,155/6306
12,9 + 15-10 - 9 * 24 / 8 * 6 / 5 * 13,1.9473684210526316,-407.2,API_REST_Wolfram,-407.2,1.0,1590.9003999549896,1.0,0.0,0.015625,0.0,API_OK,0.0,157/4296
13,12 / 3 * 12 +11 * 11 - 6 * 17 + 4 +10,1.9473684210526316,81.0,API_REST_Wolfram,81.0,1.0,1567.9516999516636,1.0,0.0,0.0,0.07421875,API_OK,0.0,159/6334
14,16 * 15 / 5+2 + 24 / 8 * 6- 1 + 5 + 12,2.1842105263157894,84.0,API_REST_Wolfram,84.0,1.0,1650.0349000561982,1.0,0.0,0.0,0.0390625,API_OK,0.0,162/6341
15,2 * 10 + 10 - 8*10 / 5 + 10+ 5 * 4 * 11,2.1842105263157894,244.0,API_REST_Wolfram,244.0,1.0,1705.1898000063375,1.0,0.0,0.0,0.0,API_OK,0.0,163/6337
16,24 / 4 + 14 * 2/ 5 + 10 - 9 * 11 * 17 + 4,2.1842105263157894,-1657.4,API_REST_Wolfram,-1657.0,0.0,1607.8038000268862,1.0,0.0,0.015625,0.0,API_OK,0.0,169/4324
17,11 * 10 - 12 / 3/ 4 + 14 * 2/ 3 * 12 + 10,2.1842105263157894,231.0,API_REST_Wolfram,231.0,1.0,1736.9692999636754,1.0,0.0,0.015625,0.0546875,API_OK,0.0,167/6365
18,8 / 4 * 2 + 18* 12 - 14 / 2- 9 * 24 / 8 * 6,2.421052631578948,51.0,API_REST_Wolfram,51.0,1.0,2044.9526000302285,1.0,0.0,0.0,0.0,API_OK,0.0,173/6911
19,18- 6 * 17 + 4/ 6 + 4 * 15 - 1 + 5 * 4 * 11,2.421052631578948,195.66666666666669,API_REST_Wolfram,195.7,0.0,1957.9843999817967,1.0,0.0,0.0,0.046875,API_OK,0.0,173/6365
20,2- 1 + 5 * 4 * 11 - 20 / 5 * 3* 15 / 5 + 12,2.421052631578948,197.0,API_REST_Wolfram,197.0,1.0,1882.5093999039382,1.0,0.0,0.0,0.015625,API_OK,0.0,173/6367
21,(11 + 42 - 5) / (11 - 4),1.236842105263158,6.857142857142857,API_REST_Wolfram,6.857,0.0,1818.5888000298291,1.0,0.0,0.0,0.0,API_OK,0.0,134/8489
22,(17 - 3) * (14 - 6) - 22,1.236842105263158,90.0,API_REST_Wolfram,90.0,1.0,1879.1218999540433,1.0,0.0,0.0,0.0625,API_OK,0.0,134/6262
23,((9 + 33 - 6) / 6) - 3^2,1.9473684210526316,-3.0,API_REST_Wolfram,-3.0,1.0,1762.8330000443384,1.0,0.0,0.0,0.0,API_OK,0.0,136/6429
24,((10 + 43 - 5) / 6) + 5^2,1.9473684210526316,33.0,API_REST_Wolfram,33.0,1.0,1574.2530999705195,1.0,0.0,0.0,0.0,API_OK,0.0,137/6817
25,2 * (9 * 5 + 3^2) + 4,1.7105263157894737,112.0,API_REST_Wolfram,112.0,1.0,1374.7064999770373,1.0,0.0,0.0,0.06640625,API_OK,0.0,133/6249
26,(6 + 3)^2 + (9 - (10 / 5)),1.9473684210526316,88.0,API_REST_Wolfram,88.0,1.0,1660.9365999465808,1.0,0.0,0.0,0.0,API_OK,0.0,138/6279
27,(10 + 59 - 3^2) / (24 - 4),1.7105263157894737,3.0,API_REST_Wolfram,3.0,1.0,1921.916599967517,1.0,0.0,0.015625,0.0,API_OK,0.0,138/9419
28,4 * (12 * 6 - 4^2) + 9,1.7105263157894737,233.0,API_REST_Wolfram,233.0,1.0,1468.1891000363976,1.0,0.0,0.0,0.078125,API_OK,0.0,134/6258
29,(19 - 8) * (10 + 4) + 8^2,1.7105263157894737,218.0,API_REST_Wolfram,218.0,1.0,1606.6255999030545,1.0,0.0,0.015625,0.0,API_OK,0.0,137/6268
30,3 * (2 + (5 - 1)),1.236842105263158,18.0,API_REST_Wolfram,18.0,1.0,1706.154799903743,1.0,0.0,0.015625,0.0,API_OK,0.0,123/6774
31,18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4),3.131578947368421,21.357142857142858,API_REST_Wolfram,21.36,0.0,2126.915800035931,1.0,0.0,0.0,0.0,API_OK,0.0,183/6925
32,(5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,2.894736842105263,-103.14285714285714,API_REST_Wolfram,-103.1,0.0,2118.052199948579,1.0,0.0,0.0,0.0,API_OK,0.0,183/4369
33,24 / (2^2) + 3 * (5 - 1)^2 *((9 + 33 - 6) / 6) - 3^2,4.078947368421053,285.0,API_REST_Wolfram,285.0,1.0,1924.4692000793293,1.0,0.0,0.0,0.00390625,API_OK,0.0,186/6429
34,6 + (4^2 - 8) * (3 + 2^3) / ((10 + 43 - 5) / 6) + 5^2,4.078947368421053,42.0,API_REST_Wolfram,42.0,1.0,2159.274599980563,1.0,0.0,0.0,0.0,API_OK,0.0,189/6961
35,(36 / 3)^2 - 4 * (5 + 1) / 2 * (9 * 5 + 3^2) + 4,3.3684210526315788,-500.0,API_REST_Wolfram,-500.0,1.0,1689.4105999963358,1.0,0.0,0.0,0.0,API_OK,0.0,182/4345
36,7 + 2^4 * (9 - 6) / 3 * (6 + 3)^2 + (9 - (10 / 5)),3.6052631578947367,1310.0,API_REST_Wolfram,1310.0,1.0,2309.098899946548,1.0,0.0,0.0,0.0625,API_OK,0.0,184/6743
37,(8 + 4^2) * (6 - (2 + 1))^2 +2 * (9 * 5 + 3^2) + 4,4.078947368421053,328.0,API_REST_Wolfram,328.0,1.0,1795.445799943991,1.0,0.0,0.0,0.0390625,API_OK,0.0,184/6396
38,50 - (4^3 / (2^2)) * 5 - (11 + 42 - 5) / (11 - 4),3.3684210526315788,-36.85714285714285,API_REST_Wolfram,-36.86,0.0,1840.4239000519738,1.0,0.0,0.0,0.0,API_OK,0.0,179/4890
39,(3 + 5)^2 / 4 + 6 * (7 - 3) * (17 - 3) * (14 - 6) - 22,3.131578947368421,2682.0,API_REST_Wolfram,2682.0,1.0,2352.77999995742,1.0,0.0,0.0,0.01171875,API_OK,0.0,190/6441
40,10 + 18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4)+ 6^2 / 3 - (4 - 2)+ 2- 1 + 5 * 4 * 11 - 20 / 5 * 3* 15 / 5 + 12^3,7.868421052631579,1954.357142857143,API_REST_Wolfram,1954.0,0.0,3561.6936000296846,1.0,0.0,0.015625,0.05859375,API_OK,0.0,314/6741
41,(12 - 4 * (2 + 1))^2 + 8 / 2+2 - 20 / 5 * 3 * (8 + 4^2) * (6 - (2 + 1))^2 +(36 / 3)^2 - 4 * (5 + 1) -3 * 19 * 14 + 18 / 2,8.105263157894736,-3255.0,API_REST_Wolfram,-3255.0,1.0,3153.4605999477208,1.0,0.0,0.0,0.0,API_OK,0.0,311/4702
42,"9 * (5 + 3) - 2^3 / (1 + 1) - (5^3 - 17) / (4 + 3) * 2 +(19 - 8) * (10 + 4) + 8^2 * (17 - 3) * (14 - 6) - 22 + 16 * 15 / 5 + 12
",7.394736842105263,7397.142857142857,API_REST_Wolfram,7397.0,0.0,3222.3578999983147,1.0,0.0,0.0,0.05859375,API_OK,0.0,324/6773
43,(2^5 - 4^2) / 4 + 7 * 3 + 4 * (12 * 6 -18 + 6 / (3 * (2^2)) - 4+  4^2) + 9 -(19 - 8) * (10 + 4) + 8^2 + 3 * (2 + (5 - 1)),8.578947368421051,228.0,API_REST_Wolfram,228.0,1.0,3204.113499959931,1.0,0.0,0.0,0.01171875,API_OK,0.0,313/6736
44,6 + (18+ (5^3 - 17) / (4 + 3) * 2 / 3)^2 - 5 * 4 + 50 - (4^3 / (2^2)) * 5 - (11 + 42 - 5) / (11 - 4) - (5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,9.526315789473683,584.3673469387754,API_REST_Wolfram,584.4,0.0,3726.4251000015065,1.0,0.0,0.0,0.0,API_OK,0.0,368/6864
45,(5 + 3 * (4^2 - 6))* 24 / (2^2) + 3 * (5 - 1)^2 / 2+ 3 * (2 + (5 - 1)) + (17 - 3) * (14 - 6) - 22 * (5^3 - 17) / (4 + 3) * 2 - (17 - 3) * (14 - 6) - 22,9.052631578947368,-448.8571428571429,API_REST_Wolfram,-448.9,0.0,4277.364199981093,1.0,0.0,0.0,0.0,API_OK,0.0,361/4832
46,4^2 + 12 + 2^4 + 6 + (4^2 - 8) * (3 + 2^3) / ((10 + 43 - 5) / 6) + 5^2* (9 - 6)/ (3 + 1) * 5 - 18 + 6 / (3 * (2^2)) - 4 + (11 + 42 - 5) / (11 - 4)* 6,10.0,174.39285714285714,API_REST_Wolfram,174.4,0.0,4099.106000037864,1.0,0.0,0.0,0.0234375,API_OK,0.0,361/6851
47,cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90)))),6.447368421052632,0.1726856735832135,API_REST_Wolfram,0.1727,0.0,2150.6306000519544,1.0,0.0,0.015625,0.0,API_OK,0.0,178/2228
48,tan(cos(sin(cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90))))))),8.578947368421051,1.508090154395907,API_REST_Wolfram,1.508,0.0,2635.4939999291673,1.0,0.0,0.015625,0.0,API_OK,0.0,193/3261
49,cos(55)+sin(30/tan(180)+(7 - 2)^3 + 16 / (2^2)+ sin(tan(cos(90+ (4 + 3) * 2 +(19 - 8))))),7.868421052631579,0.3004595718797558,API_REST_Wolfram,0.3005,0.0,2772.8920000372455,1.0,0.0,0.0,0.03125,API_OK,0.0,217/2360
50,cos(55)+sin(30/tan(180 +(8 + 4^2) * (6 - (2 + 1))^2 +2 * (9 * 5 + 3^2) + 4 )),6.684210526315789,0.0327131172683973,API_REST_Wolfram,0.03271,0.0,2338.935500010848,1.0,0.0,0.015625,0.0,API_OK,0.0,215/3221
